word1,word2,lift_value
bmw,audi,0
bmw,acura,0
bmw,subaru,0
bmw,volkswagen,0
bmw,toyota,0
bmw,seat,0
bmw,cadillac,0
bmw,infiniti,0
bmw,chevrolet,0
audi,acura,0
audi,subaru,0
audi,volkswagen,0
audi,toyota,0
audi,seat,0
audi,cadillac,0
audi,infiniti,0
audi,chevrolet,0
acura,subaru,0
acura,volkswagen,0
acura,toyota,0
acura,seat,0
acura,cadillac,0
acura,infiniti,0
acura,chevrolet,0
subaru,volkswagen,0
subaru,toyota,0
subaru,seat,0
subaru,cadillac,0
subaru,infiniti,0
subaru,chevrolet,0
volkswagen,toyota,0
volkswagen,seat,0
volkswagen,cadillac,0
volkswagen,infiniti,0
volkswagen,chevrolet,0
toyota,seat,0
toyota,cadillac,0
toyota,infiniti,0
toyota,chevrolet,0
seat,cadillac,0
seat,infiniti,0
seat,chevrolet,0
cadillac,infiniti,0
cadillac,chevrolet,0
infiniti,chevrolet,0
