Word,Frequency
car,5755
bmw,3459
audi,3292
acura,2611
said,2527
honda,2409
like,2314
would,2246
one,2079
get,1931
new,1839
good,1461
2018,1437
think,1428
even,1352
subaru,1307
dont,1282
im,1155
volkswagen,1143
much,1113
wifes,1111
well,1105
s4,1092
tlx,1071
know,1068
really,1067
price,1065
time,1056
lease,1016
2023,1010
toyota,988
back,974
drive,960
luxury,939
mine,932
still,899
better,898
tech,889
could,856
also,843
years,839
want,813
sure,788
dealer,772
2015,764
edmunds,763
go,755
people,748
see,742
package,735
us,720
hybrid,710
miles,703
way,697
make,691
awd,690
3,683
speed,673
driving,628
going,627
sport,622
say,620
seat,610
probably,609
got,603
performance,600
nice,599
seems,598
many,598
sahara,592
come,586
less,584
previous,583
since,575
show,574
right,574
ive,572
model,571
deal,565
lot,564
’,563
thing,554
engine,549
take,544
hyundai,542
cadillac,539
year,539
something,525
least,523
first,514
may,507
used,507
shawd,506
thats,502
buy,499
great,494
08,490
need,487
x1,483
club,483
money,482
330i,476
infiniti,470
old,466
doesnt,463
premium,462
point,462
20,456
look,456
quotes,456
2020,455
x3,453
series,453
sons,453
id,451
2024,447
test,446
cost,446
never,442
1995,442
cup,440
last,438
rt,438
11,434
might,432
tires,432
long,431
triple,430
though,428
challenge,428
coupe,427
pretty,426
2,425
every,421
cant,421
course,420
24,420
318ti,419
xdrive28i,419
maybe,418
bit,415
sport2020,415
c432021,415
4xe1996,415
replica,415
sedan,414
lariat,414
mb,413
maverick,412
chevrolet,412
5,411
4,410
actually,408
didnt,404
tl,400
big,400
find,399
another,398
next,398
mini,398
2022,395
looking,394
two,394
brand,394
etc,393
around,392
manual,391
15,391
power,387
market,387
getting,376
perhaps,373
ellps,372
diesel,369
little,367
always,366
things,361
service,358
ex,354
looks,353
ford,351
class,348
21,348
transmission,348
problem,347
dealers,343
interior,342
current,342
keep,341
however,339
dodge,338
sales,336
base,336
different,334
high,331
level,329
use,328
19,327
far,326
made,325
put,325
almost,323
standard,322
feel,321
lexus,321
best,319
wagon,313
end,312
gran,312
msrp,311
16,309
wife,307
seem,305
4ws,305
hp,303
vehicle,302
thought,301
isnt,301
offspring,301
let,300
touring,299
ats,297
today,296
m40i,296
couple,296
volvo,296
430i,296
steering,295
warranty,294
leather,291
makes,291
experience,291
without,290
quite,290
ever,289
moderator,287
yes,286
bought,286
front,285
work,285
2014,285
read,283
cts,282
sel,281
mercedes-benz,280
tts,280
models,279
days,278
4motion,278
close,277
calculator,276
enough,276
anything,275
checker,274
top,274
yet,273
torque,272
either,272
1,272
plus,272
r,271
guess,270
road,269
1500,269
type,268
6,268
reason,267
22,267
months,263
pay,263
drove,261
suspension,261
love,261
kia,259
13,259
day,256
change,256
option,254
real,254
part,253
oil,253
v6,252
value,251
flightnurse,251
post,249
comes,248
sh,247
line,247
certainly,246
issues,245
ago,245
folks,244
320i,244
issue,244
turbo,243
low,243
expensive,242
options,241
system,241
bad,241
ill,240
available,239
2500,239
mpg,237
agree,237
10,236
driven,236
hard,236
vehicles,235
give,234
given,233
purchase,232
chrysler,232
fiat,229
small,228
wanted,226
fun,226
2001,225
went,225
nothing,225
wouldnt,224
rear,224
true,223
dealership,223
german,221
live,221
sell,221
gmc,221
interesting,220
stickguy,220
67,220
difference,217
black,216
size,216
done,215
month,214
sierra,214
order,214
list,213
lower,212
rwd,212
cooper,212
s3,212
wheel,211
s90,211
t6,211
believe,210
rather,209
offer,209
wheels,208
entry,207
coronet,207
97,207
suzuki,207
extra,206
daytona,206
audis,205
based,205
share,204
fact,204
driver,204
500c,203
sprinter,203
4x4,203
96,203
opel,203
astra,203
maser,203
qp,203
others,202
track,202
buying,200
vs,200
case,199
version,199
times,198
came,198
fwd,198
tire,198
assume,195
often,194
auto,191
tell,191
mazda,191
c,190
reliability,189
wrangler,188
someone,188
youre,188
says,188
able,187
sound,186
handling,185
2016,185
kind,184
wrong,183
number,183
possible,182
4wd,182
ride,182
start,182
side,182
wont,180
took,180
especially,179
engines,179
xle,178
sr,178
roadburner,178
already,178
away,177
found,177
–,177
per,176
4xe,175
must,175
company,175
wasnt,174
likely,174
brands,173
mean,173
fine,173
dsg,172
guy,172
23,171
gm,171
longer,170
second,170
